Group,Mouse ID,Sex,Exposure Period (days),PFAS Type,Dose (mg/kg)*,Whole Liver Weight (g),,Notes,Analysis Batch #,Results file name,Concentration. unit,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS,N-MeFOSAA,N-EtFOSAA,FOSA,,,,,,,,,,,,,,,,,,,,,,,,
Naive,FN11,Female,28,No gavage,,0.968,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.006621702,0.002799694,6.13476E-05,<MDL,0.000171642,<MDL,0.00044538,0.000718566,0.000867704,0.000194723,0.000197486,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.00024515,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,6.621701885,2.79969377,0.061347592,<MDL,0.171641524,<MDL,0.445380363,0.718565828,0.867703728,0.194722518,0.197485634,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.245150012,<MDL,<MDL,<MDL,NA,NA,NA
Naive,FN12,Female,28,No gavage,,0.942,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.057128276,0.00305755,6.95697E-05,0.000195309,0.000160505,<MDL,0.000441475,0.000775996,0.000858098,0.000187554,0.000210674,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000265879,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,57.12827572,3.057549588,0.069569711,0.195308833,0.160505411,<MDL,0.441475115,0.775996442,0.858097939,0.18755352,0.210674048,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.265879201,<MDL,<MDL,<MDL,NA,NA,NA
Naive,FN13,Female,28,No gavage,,1.154,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.032838828,0.002652017,0.000118701,<MDL,0.000141835,<MDL,0.000611618,0.000880911,0.000980714,0.000248888,0.00021959,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,32.83882843,2.652017287,0.118700599,<MDL,0.141834871,<MDL,0.611617722,0.880910762,0.980714351,0.248888344,0.219589695,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,NA,NA
Naive,FN14,Female,28,No gavage,,0.736,,"Nodule on liver, sent to pathology (fixed in formalin).",ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.014195538,0.003112924,<MDL,<MDL,<MDL,<MDL,0.000503252,0.000797056,0.00093078,0.000200121,0.000191061,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000269627,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,14.19553801,3.112924468,<MDL,<MDL,<MDL,<MDL,0.503251852,0.797055827,0.930780246,0.200121253,0.191060575,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.269627049,<MDL,<MDL,<MDL,NA,NA,NA
Naive,FN15,Female,28,No gavage,,0.962,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.272145568,0.002657553,<MDL,0.000265004,<MDL,<MDL,0.00039031,0.001287324,0.00073503,0.000189853,0.000174982,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000213495,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,272.1455678,2.6575533,<MDL,0.265003653,<MDL,<MDL,0.390310321,1.287323747,0.735030399,0.189853136,0.174981861,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.213495228,<MDL,<MDL,<MDL,NA,NA,NA
Naive,FN16,Female,28,No gavage,,1.052,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.025492612,0.003494844,<MDL,0.000257191,<MDL,<MDL,0.000535608,0.000846567,0.00099946,0.000271573,0.000222971,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000229079,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,25.49261242,3.494844326,<MDL,0.257191483,<MDL,<MDL,0.535608046,0.846566803,0.999459683,0.271573471,0.222970749,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.229078885,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,MV17,Male,28,0.5% Tween 20,,0.923,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.001046039,0.013335443,0.000123536,<MDL,<MDL,<MDL,0.001426869,0.001440944,0.001935436,0.00043708,0.000315819,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.00031603,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.046039084,13.3354431,0.123535607,<MDL,<MDL,<MDL,1.426869033,1.440943999,1.935436428,0.437080315,0.315818763,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.316029636,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,MV18,Male,28,0.5% Tween 20,,1.23,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.00076016,0.184063426,0.00010008,<MDL,<MDL,<MDL,0.00179315,0.001967769,0.002361039,0.000561374,0.00042063,<MDL,<MDL,<MDL,0.002256045,0.00519991,<MDL,0.000379488,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.76016009,184.0634262,0.100079717,<MDL,<MDL,<MDL,1.793150314,1.967769131,2.361039422,0.561373881,0.420630063,<MDL,<MDL,<MDL,2.25604491,5.199910461,<MDL,0.37948848,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,MV19,Male,28,0.5% Tween 20,,1.111,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.000566317,0.026108528,7.90682E-05,<MDL,<MDL,<MDL,0.001185726,0.001348575,0.001719359,0.000343416,0.000282664,<MDL,<MDL,<MDL,<MDL,0.000489511,<MDL,0.000256188,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.566317028,26.10852841,0.079068241,<MDL,<MDL,<MDL,1.185725956,1.348574869,1.719358862,0.343416485,0.282664044,<MDL,<MDL,<MDL,<MDL,0.489511496,<MDL,0.256188059,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,MV20,Male,28,0.5% Tween 20,,1.235,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.000395462,0.167417107,4.39058E-05,<MDL,<MDL,<MDL,0.001366239,0.001473227,0.001772748,0.000399048,0.000309787,<MDL,<MDL,<MDL,0.001479546,0.004167612,<MDL,0.00027652,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.395461636,167.4171071,0.043905785,<MDL,<MDL,<MDL,1.366239381,1.473226671,1.772747934,0.399048078,0.309787315,<MDL,<MDL,<MDL,1.479545586,4.167612368,<MDL,0.276520455,<MDL,<MDL,<MDL,NA,NA,NA
