Group,Mouse ID,Sex,Exposure Period (days),PFAS Type,Dose (mg/kg)*,Whole Liver Weight (g),,Notes,Analysis Batch #,Results file name,Concentration. unit,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS,N-MeFOSAA,N-EtFOSAA,FOSA,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,FS41,Female,28,PFOS,1.5,1.607,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),<MDL,410.8531981,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,1.222830513,5.557510091,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,FS42,Female,28,PFOS,1.5,1.6,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),<MDL,377.5293468,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,1.167937266,5.417537251,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,FS43,Female,28,PFOS,1.5,1.66,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),<MDL,377.1596371,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,1.325175651,5.317439795,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,FS44,Female,28,PFOS,1.5,1.629,,Flow spleen half - dark spot (~ >50%),ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),<MDL,339.4658802,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,1.051060151,4.454068748,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,FS45,Female,28,PFOS,1.5,1.526,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),<MDL,401.7496532,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.196400628,5.689662046,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,FS46,Female,28,PFOS,1.5,1.588,,,"ML-B4 extracted, re-analyzed in ML-B07",20241210_ML_Batch7_Summary,mg/kg (ppb),0.353395167,350.1473002,0.111801457,0.181216291,0.179961569,<MDL,0.342539426,0.518367236,0.691463096,0.207350033,0.136420758,<MDL,<MDL,<MDL,2.840481011,7.612911001,<MDL,0.242725272,<MDL,<MDL,<MDL,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,FS47,Female,28,PFOS,1.5,1.606,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),<MDL,338.3120251,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.148210807,4.597406685,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,FS48,Female,28,PFOS,1.5,1.538,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),<MDL,384.1802428,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.187808211,5.081243512,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA49,Male,28,PFOA,1.5,2.32,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),139.8651368,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA50,Male,28,PFOA,1.5,2.21,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),122.5510396,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA51,Male,28,PFOA,1.5,2.54,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),149.3058178,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA52,Male,28,PFOA,1.5,2.18,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),115.8644509,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA53,Male,28,PFOA,1.5,2.43,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),118.5343868,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA54,Male,28,PFOA,1.5,2.45,,Flow spleen half - dark spot.,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),126.5213714,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA55,Male,28,PFOA,1.5,2.56,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),114.4623307,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,MA56,Male,28,PFOA,1.5,1.39,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),74.40843991,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA57,Female,28,PFOA,1.5,1.946,,Flow spleen half - dark spot (~ <50%),ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),123.4839148,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA58,Female,28,PFOA,1.5,1.697,,Flow spleen half - dark spot (small),ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),116.2520513,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA59,Female,28,PFOA,1.5,2.043,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),122.3293147,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA60,Female,28,PFOA,1.5,2.08,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),124.7059972,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA61,Female,28,PFOA,1.5,1.663,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),88.091969,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA62,Female,28,PFOA,1.5,1.964,,Flow spleen half - dark spot (~ 50%).,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),96.99238249,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA63,Female,28,PFOA,1.5,1.852,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),113.4019556,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOA 1.5,FA64,Female,28,PFOA,1.5,1.783,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),108.7501209,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
