Sample:,Sex,group,B Cells,B220+ F4/80+,DCs,CD8dcs,CD4 DCs,B220-macs,NK,T cells,CD4 T cells,CD4 CD69,CD8,CD8 CD69,CD4 CD25 CD69-ve,CD4 DP
July11_FA183_082.fcs,Female,PFOA 1,25.1,17.5,1.7,13.5,29.7,3.65,4.32,40.3,50.1,2.95,43.8,1.11,1.65,0.31
July11_FA184_083.fcs,Female,PFOA 1,29.6,17.8,1.68,12.5,33.6,4.34,4.01,35.1,54.6,3.49,39.4,0.98,2.17,0.37
July 8_FA169_007.fcs,Female,PFOA 0.5,20.4,1.28,0.9,28.8,16.6,4.17,2.29,28.1,54.3,3.42,25.8,1.36,0.93,0.27
July 8_FA170_008.fcs,Female,PFOA 0.5,25.9,20.3,1.84,13.5,25.1,4.85,3.54,37.7,48.5,3.39,44.7,1.29,1.43,0.42
July 9_FA171_032.fcs,Female,PFOA 0.5,19.8,27.2,1.47,11.8,42.2,5.83,2.06,35.1,51.5,3.52,41.6,1.57,1.21,0.27
July 9_FA172_033.fcs,Female,PFOA 0.5,26.9,5.68,0.7,30.6,19.5,3.28,2.89,30.5,48.1,2.63,36.6,0.91,0.59,0.11
July 10_FA173_056.fcs,Female,PFOA 0.5,27.9,18.2,1.51,14.7,29.6,5.09,3.04,36.1,57.7,4.89,37.1,1.43,2.9,0.62
July 10_FA174_057.fcs,Female,PFOA 0.5,24.4,18.7,1.4,12.7,34.1,5.77,2.63,36.8,53.2,2.96,41.1,1.27,1.93,0.4
July11_FA175_080.fcs,Female,PFOA 0.5,26,17.6,1.44,15.7,33.1,5.76,2.69,36.7,60.5,3.99,34.7,1.17,3.48,0.54
July11_FA176_081.fcs,Female,PFOA 0.5,28.2,17.3,1.54,12.3,38.2,4.86,3.08,36.6,59.7,2.17,35.3,1.07,3.47,0.46
July 8_FA161_005.fcs,Female,PFOA 0.166,28.1,17.6,1.61,16.8,27.7,3.84,1.69,37.5,51.5,3.72,41.6,1.31,1.52,0.39
July 8_FA162_006.fcs,Female,PFOA 0.166,25.6,20.6,1.48,11.8,23.6,4.99,4.19,36.4,49,2.75,44.3,1.02,1.13,0.28
July 9_FA163_030.fcs,Female,PFOA 0.166,24.2,25.8,1.36,13.3,37.4,5.2,1.62,29.8,50,3.56,41.8,0.92,1.02,0.2
July 9_FA164_031.fcs,Female,PFOA 0.166,32.7,15.1,1.39,14.5,35.7,4.23,1.4,37.6,51.8,3.43,43.1,1.34,1.39,0.29
July 10_FA165_054.fcs,Female,PFOA 0.166,28.2,21.6,1.46,13.7,28.4,4.86,4.23,31.6,49.5,3,44.2,1.1,1.44,0.3
July 10_FA166_055.fcs,Female,PFOA 0.166,17.3,27.4,1.44,15.1,34.1,4.59,4.34,38.2,44.9,3.1,48.5,1.09,1.51,0.53
July11_FA167_078.fcs,Female,PFOA 0.166,17.9,22.5,1.55,14.3,31.2,5.85,3.47,36.6,47.8,3.94,44.7,1.21,2.01,0.57
July11_FA168_079.fcs,Female,PFOA 0.166,26.3,20,1.65,17.3,28.9,5.02,3.41,34.7,58.9,3.73,34.9,1.27,4.53,0.87
July 8_FN145_001.fcs,Female,Naive,26,16.3,1.61,14,28.5,4.1,3.85,38.6,45,3.37,48.2,1.12,1.27,0.26
July 8_FN146_002.fcs,Female,Naive,27.3,18.2,1.96,16.8,25.8,4.14,3.07,35.5,47,4.02,45.5,1.34,1.5,0.45
July 9_FN147_026.fcs,Female,Naive,23.8,26.9,1.34,12.6,32,4.23,1.67,32.3,48.3,3.9,43.4,1.12,1.32,0.21
July 9_FN148_027.fcs,Female,Naive,42.8,1.22,1.07,20.3,15.4,1.48,0.34,25.6,58.3,4.18,26.5,1.54,0.68,0.14
July 10_FN149_050.fcs,Female,Naive,32.4,16.8,1.79,11.1,28.9,3.65,4.19,34.5,53.6,5.7,40,1.96,2.44,0.72
July 10_FN150_051.fcs,Female,Naive,34.2,10.7,1.66,7.84,31.3,2.7,4.03,41.4,50.7,3.52,44.2,1.33,1.29,0.27
July11_FN151_074.fcs,Female,Naive,28.5,17.5,1.72,12.1,30.7,5.03,5.12,35.7,50.6,3.4,42.6,1.16,2.32,0.47
July11_FN152_075.fcs,Female,Naive,33.5,22.7,1.84,11.3,24.1,3.62,4.1,28.8,52,4.92,40.4,1.45,2.07,0.65
