Sample:,Sex,group,Baseline,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8
April 25_MS118_013.fcs,Male,PFOS 0.166,45,42.7,55.7,62.8,46.9,41.1,72.4,55.7,66.9
April 26_MS119_013.fcs,Male,PFOS 0.166,46.3,53.9,41.4,45.6,50.5,55.5,56,37.2,51.6
April 26_MS120_014.fcs,Male,PFOS 0.166,49.5,58.6,62.8,58.8,55.5,59.6,65.6,42.4,68
April 23_MS121_015.fcs,Male,PFOS 0.5,42.4,51.8,54.7,53.6,56.8,50,59.1,46.1,35.9
April 23_MS122_016.fcs,Male,PFOS 0.5,64.1,69,70.3,67.4,69.8,71.6,80.5,59.1,40.1
April 24_MS123_013.fcs,Male,PFOS 0.5,63.3,60.1,58.1,54.9,51.3,61.4,62.2,43.7,47.6
April 24_MS124_014.fcs,Male,PFOS 0.5,46.6,55.2,56,55.2,55.7,55.5,59.6,46.6,47.6
April 25_MS125_014.fcs,Male,PFOS 0.5,41.7,52.6,45.6,41.9,42.7,40.1,53.1,34.6,47.6
April 25_MS126_014.fcs,Male,PFOS 0.5,43.7,39.6,40.1,47.4,52.6,49.2,59.4,38,#VALUE!
April 26_MS127_015.fcs,Male,PFOS 0.5,50,54.9,57.3,57,59.1,66.9,65.6,51,68
April 26_MS128_016.fcs,Male,PFOS 0.5,54.7,58.8,64.6,60.4,53.1,61.7,71.6,46.1,66.1
April 23_MS129_017.fcs,Male,PFOS 1,58.6,59.4,59.6,58.3,55.7,55.7,64.1,46.6,42.7
April 23_MS130_018.fcs,Male,PFOS 1,52.3,45.6,46.1,53.4,56.2,51.3,64.1,45,33.3
April 24_MS131_015.fcs,Male,PFOS 1,62.8,61.7,62.2,54.7,56,67.2,71.1,50.5,45
April 24_MS132_016.fcs,Male,PFOS 1,48.7,47.1,51.6,50.3,49.7,47.9,60.7,41.7,43
April 25_MS133_015.fcs,Male,PFOS 1,54.4,47.4,56,49.2,47.4,54.2,54.7,48.2,52.9
April 25_MS134_016.fcs,Male,PFOS 1,61.2,69,66.4,75.2,73.4,68.5,70,48.4,51.6
April 26_MS135_017.fcs,Male,PFOS 1,55.5,59.6,62,63.8,62.8,51.6,60.1,45.8,62.5
April 26_MS136_018.fcs,Male,PFOS 1,44.8,36.7,42.7,36.7,39.6,30.7,43,30.5,48.2
April 23_MS137_019.fcs,Male,PFOS 1.5,49.5,52.1,76.3,40.6,44.8,67.4,71.6,51.6,43.7
April 23_MS138_020.fcs,Male,PFOS 1.5,84.6,48.7,51,49,47.4,42.2,55.5,29.2,25.8
April 24_MS139_017.fcs,Male,PFOS 1.5,45.8,39.6,46.1,41.4,39.6,38,48.4,28.9,37.8
April 24_MS140_018.fcs,Male,PFOS 1.5,38.8,39.6,39.8,37.2,45.6,42.2,58.1,39.6,39.3
April 25_MS141_017.fcs,Male,PFOS 1.5,53.6,64.6,66.7,56.5,76.8,61.7,74.5,46.3,55.7
April 25_MS142_018.fcs,Male,PFOS 1.5,60.7,62.2,59.9,63,68,57.8,68,45.6,56.5
April 26_MS143_019.fcs,Male,PFOS 1.5,63.8,63.8,74.2,78.9,76.8,73.4,97.1,75.5,94.5
April 26_MS144_020.fcs,Male,PFOS 1.5,59.4,62.8,62.5,64.1,53.4,60.4,61.7,48.7,63.3
FN145/ FN146,Female,Naive,68.2,71.3,69.1,65.9,65.9,65.7,60.1,62.5,42.1
FN147/ FN148,Female,Naive,33.3,51.9,50.6,50.6,47.6,46.6,46.6,43,33.5
FN149/ FN150,Female,Naive,39.1,36.2,36.8,39.3,41.3,36.7,33.3,34.2,32.9
FN151/ FN152,Female,Naive,32.4,36.2,38.1,40.7,43.1,43.1,41.9,44.1,47.8
FV153/ FV154,Female,Vehicle,40.9,82.1,48.4,53.8,53.4,59.2,48.3,54.3,33.1
FV155/ FV156,Female,Vehicle,49.1,62.8,58.5,61.8,62.2,59.8,63.7,56.6,48
FV157/ FV158,Female,Vehicle,35,36.1,36.1,37.9,37.5,39.2,41.3,45.4,49.6
FV159/ FV160,Female,Vehicle,47.4,30.9,47.1,51.9,52.1,48.4,44.8,49.1,53.6
FA161/ FA162,Female,PFOA 0.166,47.6,39.3,42.7,47.6,47.3,46,44,44.3,30.7
FA163/ FA164,Female,PFOA 0.166,37,43,42.4,47.8,47,50.3,45.3,49.7,44.3
FA165/ FA166,Female,PFOA 0.166,49.3,54.7,49.5,56,52.5,53.4,49.6,53.1,50.4
FA167/ FA168,Female,PFOA 0.166,54.5,50.4,53.2,56.4,55.9,53.2,50.5,54.2,59.9
FA169/ FA170,Female,PFOA 0.5,39.6,39.3,41.8,47.8,46.6,48.8,46,42.7,28.6
FA171/ FA172,Female,PFOA 0.5,45,43.9,45,54.8,56.1,55.6,52.7,48.6,38.5
FA173/ FA174,Female,PFOA 0.5,43.7,40.5,39.1,40.2,41.5,44.5,42.2,42.2,37.6
FA175/ FA176,Female,PFOA 0.5,46,44.8,44.9,48.7,46.6,47.5,42.1,45,47.1
FA177/ FA178,Female,PFOA 1,54,51.7,58.6,59.6,58.7,52.9,55.2,52.1,34.5
FA179/ FA180,Female,PFOA 1,42.6,38.7,41,42.6,46.9,46.1,44.4,46,35.5
FA181/ FA182,Female,PFOA 1,47.1,49.5,53.4,56.8,57.7,61.2,52.2,56.2,55.9
FA183/ FA184,Female,PFOA 1,46.6,42.1,44.4,46.9,44.9,51.8,43.9,44.1,46.5
FA185/ FA186,Female,PFOA 1.5,52.1,44.1,47.4,40.7,54,49.7,47.1,47.1,30.2
FA187/ FA188,Female,PFOA 1.5,56,52.6,51.4,53.8,55.1,52.2,50.4,48.7,39.8
FA189/ FA190,Female,PFOA 1.5,43.4,40.9,45.3,46.3,45.8,47.8,43.6,41.5,41.4
FA191/ FA192,Female,PFOA 1.5,52.7,53.5,49,56.9,53.6,52.5,49.1,47,53.5
FS193/ FS194,Female,PFOS 0.166,52.7,46.7,47.4,53.6,58.3,56.2,59,51,37.5
FS195/ FS196,Female,PFOS 0.166,50.9,45.3,42.7,50.9,48.2,50.5,47.6,42.8,38.9
FS197/ FS198,Female,PFOS 0.166,44.7,45.4,48,55.3,57.5,56,48.2,53.8,45.7
FS199/ FS200,Female,PFOS 0.166,44.4,#VALUE!,45.2,50,47.6,45.2,40.5,43,47.3
FS201/ FS202 B) C),Female,PFOS 0.5,48,43,47.6,B) C),B) C),B) C),B) C),B) C),B) C)
FS202/ FS203/ FS204 C),Female,PFOS 0.5,41.4,42.6,41.1,38.4,43.8,47.7,39.8,39.3,28.5
FS205/ FS206,Female,PFOS 0.5,38.1,39.8,46,51.4,50.9,44.8,44,44,43.4
FS207/ FS208,Female,PFOS 0.5,50.3,52.3,51.2,48.7,51.7,42.4,41.3,47.9,46.5
FS209/ FS210,Female,PFOS 1,45.2,40.4,40.2,47.9,45.7,46.1,41,41.3,27.6
FS211/ FS212,Female,PFOS 1,62.5,61.7,72,80.7,76.6,72,70.2,65.9,50.3
FS213/ FS214,Female,PFOS 1,44.3,44.3,48,53.4,53.9,52.1,49,50.1,48.2
FS215/ FS216,Female,PFOS 1,39.6,40.7,42.4,66.8,54.9,56,51.7,45.8,50.4
FS217/ FS218,Female,PFOS 1.5,48.7,33.8,35,37.6,42.4,37.1,39.4,43.1,27.5
FS219/ FS220,Female,PFOS 1.5,45.6,43.2,41,44.3,40.4,38.8,39.7,38.3,31.8
FS221/ FS222,Female,PFOS 1.5,33.1,38.5,43.6,49.2,44.7,42.4,44.1,38.4,38
FS223/ FS224,Female,PFOS 1.5,45.7,44.9,46.3,55.1,53.2,53.4,50.6,52.6,53.5
