Group,Mouse ID,Sex,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS_T,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS,N-MeFOSAA,N-EtFOSAA,FOSA
Naive,MN65,Male,<MDL,19.4,0.538,<MDL,<MDL,<MDL,0.234,0.200,0.146,<MDL,<MDL,<MDL,0.195,<MDL,0.813,0.983,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN66,Male,<MDL,30.5,0.654,<MDL,<MDL,<MDL,0.198,0.185,0.144,<MDL,<MDL,<MDL,0.154,<MDL,0.650,1.068,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN67,Male,<MDL,4.20,0.541,<MDL,<MDL,<MDL,0.225,0.172,0.141,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN68,Male,<MDL,8.87,0.456,<MDL,<MDL,<MDL,0.141,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.401,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN69,Male,<MDL,24.3,0.419,<MDL,<MDL,<MDL,0.124,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.031,1.856,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN70,Male,<MDL,14.6,0.494,<MDL,<MDL,<MDL,0.142,0.132,0.126,<MDL,<MDL,<MDL,<MDL,<MDL,0.454,0.539,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN71,Male,<MDL,1.88,0.438,<MDL,<MDL,<MDL,0.178,0.138,<MDL,<MDL,<MDL,<MDL,0.191,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN72,Male,<MDL,1.81,0.444,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.228,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Vehicle,MV73,Male,5.23,27.6,0.699,0.37,<MDL,<MDL,0.127,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.361,0.813,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Vehicle,MV74,Male,3.76,4.80,0.460,<MDL,<MDL,<MDL,0.197,0.184,0.167,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.179,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Vehicle,MV75,Male,4.95,4.40,0.626,<MDL,<MDL,<MDL,0.199,0.188,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Vehicle,MV76,Male,3.56,6.61,0.322,<MDL,<MDL,<MDL,0.208,0.221,0.208,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.227,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Vehicle,MV77,Male,2.96,2.39,0.439,<MDL,<MDL,<MDL,0.211,0.159,0.126,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Vehicle,MV78,Male,1.66,12.9,0.587,<MDL,<MDL,<MDL,0.198,0.195,0.202,<MDL,<MDL,<MDL,<MDL,<MDL,0.675,0.661,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Vehicle,MV79,Male,2.34,12.2,0.371,<MDL,<MDL,<MDL,0.167,0.198,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.246,0.496,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Vehicle,MV80,Male,1.95,4.95,0.567,<MDL,<MDL,0.135,0.315,0.240,0.229,0.143,<MDL,<MDL,0.191,<MDL,0.212,0.260,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
PFOA 0.166,MA81,Male,7.23,0.055,<MDL,<MDL,<MDL,0.018,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
